"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-01",,"41","17"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-02",,"44","22"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-03",,"30","18"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-04",,"31","15"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-05",,"43","18"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-06",,"40","31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-07",,"34","25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-08",,"33","19"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-09",,"39","33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-10",,"33","31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-11",,"38","31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-12",,"42","27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-13",,"30","25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-14",,"43","28"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-15",,"55","33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-16",,"56","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-17",,"37","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-18",,"37","27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-19",,"45","28"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-20",,"42","33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-21",,"33","12"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-22",,"22","4"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-23",,"34","11"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-24",,"31","10"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-25",,"22","5"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-26",,"28","9"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-27",,"37","13"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-28",,"41","25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-29",,"48","20"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-30",,"41","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-01-31",,"30","15"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-01",,"41","12"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-02",,"51","33"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-03",,"58","31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-04",,"62","35"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-05",,"57","46"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-06",,"50","42"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-07",,"47","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-08",,"37","32"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-09",,"35","31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-10",,"43","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-11",,"31","20"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-12",,"33","19"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-13",,"45","25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-14",,"42","27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-15",,"27","10"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-16",,"21","5"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-17",,"38","21"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-18",,"44","31"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-19",,"59","44"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-20",,"53","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-21",,"57","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-22",,"49","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-23",,"34","19"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-24",,"53","25"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-25",,"37","26"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-26",,"31","21"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-27",,"34","20"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-02-28",,"53","29"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-01",,"63","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-02",,"74","53"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-03",,"54","34"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-04",,"34","28"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-05",,"49","26"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-06",,"53","37"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-07",,"43","27"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-08",,"39","23"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-09",,"45","23"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-10",,"39","28"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-11",,"37","24"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-12",,"42","16"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-13",,"34","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-14",,"41","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-15",,"45","30"
"USW00094823","PITTSBURGH INTERNATIONAL AIRPORT, PA US","1991-03-16",,"54","23"
